travelCode,userCode,name_x,place,days,price,total,date,code,company,name_y,gender,age
0,0,Hotel A,Florianopolis (SC),4,313.02,1252.08,09/26/2019,0,4You,Roy Braun,male,21
2,0,Hotel K,Salvador (BH),2,263.41,526.82,10/10/2019,0,4You,Roy Braun,male,21
7,0,Hotel K,Salvador (BH),3,263.41,790.23,11/14/2019,0,4You,Roy Braun,male,21
11,0,Hotel K,Salvador (BH),4,263.41,1053.64,12/12/2019,0,4You,Roy Braun,male,21
13,0,Hotel A,Florianopolis (SC),1,313.02,313.02,12/26/2019,0,4You,Roy Braun,male,21
15,0,Hotel BD,Natal (RN),2,242.88,485.76,01/09/2020,0,4You,Roy Braun,male,21
22,0,Hotel Z,Aracaju (SE),2,208.04,416.08,02/27/2020,0,4You,Roy Braun,male,21
29,0,Hotel AU,Recife (PE),4,312.83,1251.32,04/16/2020,0,4You,Roy Braun,male,21
32,0,Hotel AF,Sao Paulo (SP),2,139.1,278.2,05/07/2020,0,4You,Roy Braun,male,21
33,0,Hotel K,Salvador (BH),4,263.41,1053.64,05/14/2020,0,4You,Roy Braun,male,21
34,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/21/2020,0,4You,Roy Braun,male,21
38,0,Hotel BD,Natal (RN),2,242.88,485.76,06/18/2020,0,4You,Roy Braun,male,21
39,0,Hotel K,Salvador (BH),1,263.41,263.41,06/25/2020,0,4You,Roy Braun,male,21
42,0,Hotel BW,Campo Grande (MS),3,60.39,181.17,07/16/2020,0,4You,Roy Braun,male,21
43,0,Hotel K,Salvador (BH),4,263.41,1053.64,07/23/2020,0,4You,Roy Braun,male,21
45,0,Hotel BD,Natal (RN),1,242.88,242.88,08/06/2020,0,4You,Roy Braun,male,21
51,0,Hotel K,Salvador (BH),1,263.41,263.41,09/17/2020,0,4You,Roy Braun,male,21
53,0,Hotel BW,Campo Grande (MS),2,60.39,120.78,10/01/2020,0,4You,Roy Braun,male,21
54,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,10/08/2020,0,4You,Roy Braun,male,21
55,0,Hotel A,Florianopolis (SC),2,313.02,626.04,10/15/2020,0,4You,Roy Braun,male,21
57,0,Hotel Z,Aracaju (SE),4,208.04,832.16,10/29/2020,0,4You,Roy Braun,male,21
60,0,Hotel Z,Aracaju (SE),4,208.04,832.16,11/19/2020,0,4You,Roy Braun,male,21
65,0,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,12/24/2020,0,4You,Roy Braun,male,21
73,0,Hotel BP,Brasilia (DF),4,247.62,990.48,02/18/2021,0,4You,Roy Braun,male,21
81,0,Hotel BD,Natal (RN),4,242.88,971.52,04/15/2021,0,4You,Roy Braun,male,21
86,0,Hotel AF,Sao Paulo (SP),3,139.1,417.3,05/20/2021,0,4You,Roy Braun,male,21
87,0,Hotel AU,Recife (PE),1,312.83,312.83,05/27/2021,0,4You,Roy Braun,male,21
90,1,Hotel AF,Sao Paulo (SP),1,139.1,139.1,10/03/2019,1,4You,Joseph Holsten,male,37
92,1,Hotel BP,Brasilia (DF),1,247.62,247.62,10/17/2019,1,4You,Joseph Holsten,male,37
100,2,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,10/31/2019,2,4You,Wilma Mcinnis,female,48
101,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,11/07/2019,2,4You,Wilma Mcinnis,female,48
105,2,Hotel Z,Aracaju (SE),4,208.04,832.16,12/05/2019,2,4You,Wilma Mcinnis,female,48
108,2,Hotel AU,Recife (PE),3,312.83,938.49,12/26/2019,2,4You,Wilma Mcinnis,female,48
109,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,01/02/2020,2,4You,Wilma Mcinnis,female,48
110,2,Hotel K,Salvador (BH),1,263.41,263.41,01/09/2020,2,4You,Wilma Mcinnis,female,48
112,2,Hotel AF,Sao Paulo (SP),4,139.1,556.4,01/23/2020,2,4You,Wilma Mcinnis,female,48
116,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,02/20/2020,2,4You,Wilma Mcinnis,female,48
117,2,Hotel AU,Recife (PE),2,312.83,625.66,02/27/2020,2,4You,Wilma Mcinnis,female,48
119,2,Hotel K,Salvador (BH),2,263.41,526.82,03/12/2020,2,4You,Wilma Mcinnis,female,48
122,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,04/02/2020,2,4You,Wilma Mcinnis,female,48
124,2,Hotel Z,Aracaju (SE),3,208.04,624.12,04/16/2020,2,4You,Wilma Mcinnis,female,48
125,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,04/23/2020,2,4You,Wilma Mcinnis,female,48
135,2,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,07/02/2020,2,4You,Wilma Mcinnis,female,48
137,2,Hotel A,Florianopolis (SC),3,313.02,939.06,07/16/2020,2,4You,Wilma Mcinnis,female,48
150,2,Hotel Z,Aracaju (SE),2,208.04,416.08,10/15/2020,2,4You,Wilma Mcinnis,female,48
153,2,Hotel BW,Campo Grande (MS),4,60.39,241.56,11/05/2020,2,4You,Wilma Mcinnis,female,48
156,2,Hotel BP,Brasilia (DF),2,247.62,495.24,11/26/2020,2,4You,Wilma Mcinnis,female,48
160,2,Hotel BW,Campo Grande (MS),2,60.39,120.78,12/24/2020,2,4You,Wilma Mcinnis,female,48
165,2,Hotel BD,Natal (RN),3,242.88,728.64,01/28/2021,2,4You,Wilma Mcinnis,female,48
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08,04/22/2021,2,4You,Wilma Mcinnis,female,48
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,05/13/2021,2,4You,Wilma Mcinnis,female,48
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12,07/01/2021,2,4You,Wilma Mcinnis,female,48
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,07/08/2021,2,4You,Wilma Mcinnis,female,48
189,2,Hotel K,Salvador (BH),4,263.41,1053.64,07/15/2021,2,4You,Wilma Mcinnis,female,48
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,08/05/2021,2,4You,Wilma Mcinnis,female,48
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06,09/09/2021,2,4You,Wilma Mcinnis,female,48
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04,10/07/2021,2,4You,Wilma Mcinnis,female,48
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,11/04/2021,2,4You,Wilma Mcinnis,female,48
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12,12/16/2021,2,4You,Wilma Mcinnis,female,48
213,2,Hotel K,Salvador (BH),3,263.41,790.23,12/30/2021,2,4You,Wilma Mcinnis,female,48
214,2,Hotel AU,Recife (PE),1,312.83,312.83,01/06/2022,2,4You,Wilma Mcinnis,female,48
